Intent,Count,Response
हुक्का,18,यहाँ हुक्का पाइन्छ। पान मिन्ट डबल एप्पल र स्ट्रबेरी फ्लेबरहरु छ। हुक्कालाई तिन सय रुपैया पर्छ अनि एउटा कोइल थपेको चालिस रुपैया हो। हुक्कालाई रेडी गर्न दस मिनेट लाग्छ।
चाउमिन,17,यहाँ चाउमिन पाइन्छ र हामी सँग चिकेन चाउमिन बफ चाउमिन र भेज चाउमिन छ| चाउमिन बन्न पन्ध्र मिनेट लाग्छ|
पिजा,17,यहाँ पिजा पाइन्छ र हामी सँग चिज पिजा मसरूम पिजा चिकेन पिजा र मिक्स पिजा छ | पिजा बन्न बिस मिनेट लाग्छ|
मोमो,17,यहाँ मोमो पाइन्छ र हामी सँग चिकेन मोमो बफ मोमो भेज मोमो र सी मोमो  छ| मोमो बन्न पन्ध्र मिनेट लाग्छ|
बफ चिल्ली,16,यहाँ बफ चिल्ली पाइन्छ। बफ चिल्ली लाई प्लेटको दुइ सय रुपैया हो र बन्न पन्ध्र मिनेट समय लाग्छ।
बफ ससेज,16,यहाँ बफ ससेज पाइन्छ। बफ ससेज लाई प्लेटको एक सय पचास रुपैया हो र बन्न दस मिनेट समय लाग्छ।
चिकेन ससेज,16,यहाँ चिकेन ससेज पाइन्छ। चिकेन ससेज लाई प्लेटको दुइ सय रुपैया हो र बन्न दस मिनेट समय लाग्छ।
चिकेन सुकुटी,16,यहाँ चिकेन सुकुटी पाइन्छ। चिकेन सुकुटीलाई प्लेटको दुइ सय अस्सी रुपैया हो र बन्न बिस मिनेट समय लाग्छ।
चिकेन ललिपप,16,यहाँ चिकेन ललिपप पाइन्छ। चिकेन ललिपप लाई प्लेटको दुइ सय रुपैया हो र बन्न बिस मिनेट समय लाग्छ।
चिकेन लेगपीस,16,यहाँ चिकेन लेगपीस पाइन्छ। चिकेन लेगपीसलाई दुइ सय रुपैया हो र बन्न बिस मिनेट समय लाग्छ।
चिकेन चिल्ली,16,यहाँ चिकेन चिल्ली पाइन्छ। चिकेन चिल्ली लाई प्लेटको दुइ सय पचास रुपैया हो र बन्न पन्ध्र मिनेट समय लाग्छ।
आलु पकौडा,16,यहाँ आलु पकौडा पाइन्छ। आलु पकौडालाई प्लेटको एक सय बिस रुपैया हो र बन्न पन्ध्र मिनेट समय लाग्छ।
बर्गर,16,यहाँ बर्गर पाइन्छ। बर्गरलाई एक सय पचास रुपैया हो र पन्ध्र मिनेट लाग्छ।
परि,16,मेरो नाम परि हो | म एउटा रोबोट हो र मलाई यहाँ यो रेस्टुरेन्टमा हजुरको सेवा गर्न को लागि राखिएको हो|
बफ सुकुटी,16,यहाँ बफ सुकुटी पाइन्छ।बफ सुकुटीलाई प्लेटको दुइ सय रुपैया हो र बन्न बिस मिनेट समय लाग्छ।
प्याज पकौडा,16,यहाँ प्याज पकौडा पाइन्छ। प्याज पकौडालाई प्लेटको एक सय बिस रुपैया हो र बन्न पन्ध्र मिनेट समय लाग्छ।
चिसो,15,यहाँ चिसो पाइन्छ। हामी सँग कोक फेन्टा डिउ स्प्राइट छ।
ससेज,12,यहाँ ससेज पाइन्छ। हामी सँग चिकेन ससेज र बफ ससेज छ।
सुकुटी,12,यहाँ सुकुटी पाइन्छ। हामी सँग चिकेन सुकुटी र बफ सुकुटी छ।
वाईफाई,11,वाईफाईको सुविधा छ र वाईफाईको स्पीड पनि राम्रो नै छ|
बफ चाउमिन,10,यहाँ बफ चाउमिन पाइन्छ र एक प्लेट बफ चाउमिनको एक सय बिस रुपैयाँ हो अनि हाफ प्लेटको साठी रुपैया हो।
भेज मोमो,10,यहाँ भेज मोमो पाइन्छ र एक प्लेट भेज मोमोलाई एक सय रुपैयाँ पर्छ।
चिकेन मोमो,10,यहाँ चिकेन मोमो पाइन्छ र एक प्लेट चिकेन मोमोलाई एक सय अस्सी रुपैयाँ पर्छ।
मसरूम पिजा,10,यहाँ मसरुम पिजा पाइन्छ| स्माल साइजको तिन सय मिडियम साइजको चार सय र लार्ज साइजको पाँच सय|
भेज चाउमिन,10,यहाँ भेज चाउमिन पाइन्छ र एक प्लेट भेज चाउमिनलाई अस्सी रुपैयाँ हो अनि हाफ प्लेटको पचास रुपैया हो।
चिकेन पिजा,10,यहाँ चिकेन पिजा पाइन्छ| स्माल साइजको तिन सय मिडियम साइजको चार सय र लार्ज साइजको पाँच सय|
चिकेन चाउमिन,10,यहाँ चिकन चाउमिन पाइन्छ र एक प्लेट चिकन चाउमिनको एक सय पचास रुपैयाँ हो अनि हाफ प्लेटको अस्सी रुपैया हो।
चिज पिजा,10,यहाँ चिज पिजा पाइन्छ| स्माल साइजको दुइ सय मिडियम साइजको तिन सय र लार्ज साइजको चार सय|  
अफर,10,अफर भनेर त केहि छैन तर थोरै डिस्काउन्ट हुन्छ |
बफ मोमो,10,यहाँ बफ मोमो पाइन्छ र एक प्लेट बफ मोमोलाई एक सय पचास रुपैयाँ पर्छ।
मिक्स पिजा,10,यहाँ मिक्स पिजा पाइन्छ| स्माल साइजको दुइ सय मिडियम साइजको तिन सय र लार्ज साइजको चार सय|
पकौडा,10,यहाँ पकौडा पाइन्छ। हामी सँग आलु पकौडा र प्याज पकौडा छ।
सी मोमो,9,यहाँ सी मोमो पाइन्छ र एक प्लेट चिकेन सी मोमोलाई दुइ सय पचास रुपैयाँ पर्छ। एक प्लेट भेज सी मोमोलाई एक सय बिस रुपैयाँ पर्छ। एक प्लेट बफ सी मोमोलाई दुइ सय रुपैयाँ पर्छ।
कोक,9,यहाँ कोक पाइन्छ। हामी सँग जम्बो कोक र सानो सिसा वाला कोक छ। जम्बोलाई दुइ सय पचास रुपैया पर्छ अनि सिसा वालालाई पचास रुपैया पर्छ।
टुबोर्ग गोल्ड,8,यहाँ टुबोर्ग गोल्ड पाइन्छ। हामी सँग टुबोर्ग गोल्ड क्यान वाला र सिसा वाला छ। क्यान वालालाई तिन सय र सिसा वालालाई चार सय पचास रुपैया पर्छ।
रुसलान,8,यहाँ रुसलान भोड्का पाइन्छ। हामी सँग रुसलान भोड्का क्वाटर बोत्तल हाफ बोत्तल र फुल बोत्तल छ। क्वाटरको तिन सय पचास रुपैया पर्छ हाफको छ सय पचास रुपैया पर्छ र फुल रुसलानको बाह्र सय रुपैया पर्छ।
अर्ना,8,यहाँ अर्ना पाइन्छ। हामी सँग अर्ना क्यान वाला र सिसा वाला छ। क्यान वालालाई एक सय पचास र सिसा वालालाई तिन सय रुपैया पर्छ।
टुबोर्ग डिलक्स,8,यहाँ टुबोर्ग डिलक्स पाइन्छ। हामी सँग टुबोर्ग डिलक्स क्यान वाला र सिसा वाला छ। क्यान वालालाई दुइ सय अस्सी र सिसा वालालाई चार सय पच्चिस रुपैया पर्छ।
टुबोर्ग स्ट्रोङ,8,यहाँ टुबोर्ग स्ट्रोङ पाइन्छ। हामी सँग टुबोर्ग स्ट्रोङ क्यान वाला र सिसा वाला छ। क्यान वालालाई दुइ सय पचास र सिसा वालालाई चार सय रुपैया पर्छ।
वाईन,8,यहाँ वाइन पाइन्छ। हामी सँग वाइन हाफ बोत्तल र फुल बोत्तल छ। हाफ वाइनको छ सय पचास रुपैया पर्छ र फुल वाइनको बाह्र सय रुपैया पर्छ।
खुकुरी,8,यहाँ खुकुरी रम पाइन्छ। हामी सँग खुकुरी रम क्वाटर बोत्तल हाफ बोत्तल र फुल बोत्तल छ। क्वाटरको तिन सय पचास रुपैया पर्छ हाफको छ सय पचास रुपैया पर्छ र फुल खुकुरी रमको बाह्र सय रुपैया पर्छ।
डिउ,8,यहाँ डिउ पाइन्छ। हामी सँग जम्बो डिउ र सानो सिसा वाला डिउ छ। जम्बोलाई दुइ सय पचास रुपैया पर्छ अनि सिसा वालालाई पचास रुपैया पर्छ।
स्पेशल,8,यो रेस्टुरेन्टमा स्पेशल पाउनि भनेको चिकेन सुकुटी चिकेन ललिपप र बफ चिल्ली हो | 
बियर,8,यहाँ बियर पाइन्छ। हामी सँग टुबोर्ग स्ट्रोङ टुबोर्ग डिलक्स र टुबोर्ग गोल्ड छ।
फेन्टा,8,यहाँ फेन्टा पाइन्छ। हामी सँग जम्बो फेन्टा र सानो सिसा वाला फेन्टा छ। जम्बोलाई दुइ सय पचास रुपैया पर्छ अनि सिसा वालालाई पचास रुपैया पर्छ।
स्प्राइट,8,यहाँ स्प्राइट पाइन्छ। हामी सँग जम्बो स्प्राइट र सानो सिसा वाला स्प्राइट छ। जम्बोलाई दुइ सय पचास रुपैया पर्छ अनि सिसा वालालाई पचास रुपैया पर्छ।
रेस्टुरेन्ट,7,यो रेस्टुरेन्टको नाम ग्रीन भ्याली हो र हजुर लाइ ग्रीन भ्यालीमा स्वागत छ |
कम्पनि,7,मलाई पाइला टेक्नोलोजीले बनाएको हो | पाइला टेक्नोलोजी एउटा आइटी कम्पनी हो जसले एआइ र रोबोटिक्समा काम गरिरहेको छ र पाइलाले विश्वस्तरीय मानव मैत्री रोबोट उत्पादन गर्ने लक्ष्य राखेको छ | छोटो अवधिमा यसले देशका केही ठूला नाममा उत्पादन र सेवा पुर्याउने गरेको छ - एसबीआई नेपाल लिमिटेड ज्ञानी ट्रेडर्स र अरु धेरै |
अन्य,0,सरि तपाइको प्रश्न यो रेस्टुरेन्ट सम्बन्धि हुनु पर्छ।